Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2022-05-03,4.42e-05,4.59e-05,3.93e-05,3.96e-05,467699.47,1651622399999000000,19.97671832,3376,170641.88,7.32044407
2022-05-04,3.96e-05,4.58e-05,3.87e-05,4.4e-05,499005.98,1651708799999000000,21.01334975,4524,255891.53,10.75691366
2022-05-05,4.39e-05,4.79e-05,4.07e-05,4.4e-05,456596.76,1651795199999000000,19.96880891,3928,227544.77,9.96929542
2022-05-06,4.41e-05,4.43e-05,4.13e-05,4.19e-05,266847.29,1651881599999000000,11.3288197,2163,105659.52,4.5024773
2022-05-07,4.19e-05,4.19e-05,3.72e-05,3.79e-05,278902.54,1651967999999000000,11.10724342,1774,111725.88,4.45287654
2022-05-08,3.78e-05,3.92e-05,3.72e-05,3.81e-05,174129.41,1652054399999000000,6.65053459,1257,73251.91,2.81072115
2022-05-09,3.81e-05,3.86e-05,3.49e-05,3.73e-05,369958.91,1652140799999000000,13.6336635,2728,168769.47,6.22994043
2022-05-10,3.7e-05,4e-05,3.54e-05,3.77e-05,567968.82,1652227199999000000,21.33946057,4310,258970.54,9.76662193
2022-05-11,3.75e-05,3.81e-05,2.5e-05,2.78e-05,1179464.52,1652313599999000000,34.43114517,5092,506973.03,14.67601521
2022-05-12,2.8e-05,2.91e-05,2.26e-05,2.71e-05,900124.24,1652399999999000000,22.79826797,4259,381050.14,9.77517472
2022-05-13,2.72e-05,3.53e-05,2.71e-05,2.94e-05,531465.9,1652486399999000000,16.49454689,2993,249416.78,7.75003681
2022-05-14,2.93e-05,3.05e-05,2.61e-05,2.87e-05,275849.37,1652572799999000000,7.73186364,2105,123151.95,3.45438259
2022-05-15,2.87e-05,3.08e-05,2.66e-05,3.03e-05,289756.69,1652659199999000000,8.25039207,1931,135838.65,3.89772791
2022-05-16,3.01e-05,3.69e-05,2.83e-05,3.22e-05,561754.51,1652745599999000000,18.03039421,4019,284393.87,9.16906017
